Drivers \ Facilities,1,2,3,4,5,6,7,8,9,10
Driver_1,6.636,17.5,1.652,1.4,1.736,1.26,1.4,1.708,1.456,1.26
Driver_2,2.408,2.464,1.26,1.064,1.736,1.484,1.036,1.876,2.716,1.652
Driver_3,1.288,1.68,2.212,1.736,9.072,5.768,1.568,22.652,2.184,4.06
Driver_4,1.372,1.876,3.724,2.548,12.488,3.024,2.212,6.02,1.624,2.324
Driver_5,6.16,23.856,1.68,1.428,1.764,1.26,1.428,1.708,1.428,1.26
Driver_6,2.968,4.284,1.68,1.372,2.324,1.652,1.316,2.408,2.184,1.736
Driver_7,1.708,1.82,1.176,1.008,1.764,1.68,0.98,1.988,4.984,2.044
Driver_8,1.82,2.856,4.844,3.276,2.716,1.568,3.136,2.268,1.26,1.4
Driver_9,1.288,1.4,1.092,0.952,1.708,1.904,0.924,1.96,18.536,2.576
Driver_10,1.96,2.016,1.176,1.008,1.68,1.54,0.98,1.848,3.472,1.792
Driver_11,1.064,1.316,1.792,1.512,3.948,26.852,1.372,4.816,1.988,5.348
Driver_12,1.036,1.316,4.648,5.824,2.24,1.624,4.396,1.904,1.008,1.344
Driver_13,1.876,2.52,1.848,1.484,3.668,2.492,1.4,4.34,2.884,2.66
Driver_14,1.512,2.016,3.22,3.332,1.68,1.148,3.808,1.484,0.952,1.064
Driver_15,1.148,1.512,3.584,2.716,5.264,2.996,2.296,3.92,1.4,2.156
Driver_16,6.972,5.572,1.428,1.232,1.624,1.232,1.204,1.652,1.624,1.288
Driver_17,2.184,3.528,2.352,1.792,3.836,2.072,1.68,3.696,1.988,2.016
Driver_18,6.692,4.368,1.4,1.26,1.316,1.008,1.26,1.288,1.12,1.008
Driver_19,1.036,1.316,4.872,8.288,2.072,1.484,6.02,1.764,0.98,1.232
Driver_20,1.092,1.4,5.852,6.384,2.492,1.708,4.564,2.072,1.064,1.4
Driver_21,7.532,10.808,1.596,1.4,1.596,1.176,1.372,1.54,1.316,1.176
Driver_22,1.708,2.072,1.54,1.288,2.828,2.464,1.204,3.444,4.284,2.968
Driver_23,1.596,2.24,2.94,2.1,11.564,2.94,1.904,7.896,1.904,2.492
