cases \ facilities,1,2,3,4,5,6,7,8,9,10
case_1,0,0,19,19,20,0,0,0,0,92
case_2,20,20,0,0,20,0,0,0,90,0
case_3,0,0,20,19,20,0,0,0,91,0
case_4,17,20,0,20,0,0,0,0,0,93
case_5,20,20,20,0,20,0,30,40,0,0
case_6,20,0,20,0,20,0,0,0,0,90
case_7,20,0,0,20,20,0,0,0,90,0
case_8,20,0,20,20,0,0,0,0,90,0
case_9,0,20,17,0,20,0,0,0,93,0
case_10,0,20,0,20,20,0,0,0,90,0
case_11,0,20,0,20,20,0,0,0,90,0
case_12,0,20,20,0,20,0,0,0,0,90
case_13,0,20,20,20,0,0,0,0,0,90
case_14,20,0,20,0,20,0,0,0,0,90
case_15,0,20,20,20,0,0,0,0,0,90
case_16,20,0,0,20,20,0,0,0,0,90
case_17,20,20,0,20,0,0,0,0,0,90
case_18,0,20,20,0,20,0,0,0,0,90
case_19,18,20,20,0,0,0,0,0,92,0
case_20,0,20,20,20,0,0,0,0,0,90
case_21,19,0,17,20,0,0,0,0,94,0
case_22,20,0,20,0,20,0,0,0,0,90
case_23,20,0,20,20,0,0,0,0,0,90
case_24,20,0,20,20,0,0,0,0,90,0
case_25,0,0,20,20,20,0,0,0,0,90
case_26,20,20,20,0,0,0,0,0,90,0
case_27,0,20,0,20,20,0,0,0,90,0
case_28,20,20,20,0,0,0,0,0,90,0
case_29,0,20,0,20,20,0,0,0,90,0
case_30,0,0,20,20,20,0,0,0,0,90
case_31,20,0,0,20,20,0,0,0,90,0
case_32,0,20,0,20,20,0,0,0,90,0
case_33,20,0,0,20,19,0,0,0,91,0
case_34,0,0,20,20,20,0,0,0,0,90
case_35,20,0,0,20,20,0,0,0,90,0
case_36,20,0,20,0,20,0,0,0,90,0
case_37,20,0,20,20,0,0,0,0,90,0
case_38,0,0,20,20,20,0,0,0,0,90
case_39,0,20,0,20,20,0,0,0,90,0
case_40,20,0,19,0,20,0,0,0,91,0
case_41,20,19,18,0,0,0,0,0,0,93
case_42,20,20,0,20,0,0,0,0,90,0
case_43,20,18,20,0,0,0,0,0,0,92
case_44,0,20,20,0,20,0,0,0,0,90
case_45,20,20,0,0,20,0,0,0,0,90
case_46,20,20,20,20,0,30,0,40,0,0
case_47,20,20,20,0,0,0,0,0,90,0
case_48,20,20,0,0,20,0,0,0,90,0
case_49,19,0,20,0,20,0,0,0,91,0
case_50,0,15,20,0,20,0,0,0,0,95
