cases \ facilities,1,2,3,4,5,6,7,8,9,10
case_1,0,0,1,1,1,0,0,0,0,1
case_2,1,1,0,0,1,0,0,0,1,0
case_3,0,0,1,1,1,0,0,0,1,0
case_4,1,1,0,1,0,0,0,0,0,1
case_5,1,1,1,0,1,0,1,1,0,0
case_6,1,0,1,0,1,0,0,0,0,1
case_7,1,0,0,1,1,0,0,0,1,0
case_8,1,0,1,1,0,0,0,0,1,0
case_9,0,1,1,0,1,0,0,0,1,0
case_10,0,1,0,1,1,0,0,0,1,0
case_11,0,1,0,1,1,0,0,0,1,0
case_12,0,1,1,0,1,0,0,0,0,1
case_13,0,1,1,1,0,0,0,0,0,1
case_14,1,0,1,0,1,0,0,0,0,1
case_15,0,1,1,1,0,0,0,0,0,1
case_16,1,0,0,1,1,0,0,0,0,1
case_17,1,1,0,1,0,0,0,0,0,1
case_18,0,1,1,0,1,0,0,0,0,1
case_19,1,1,1,0,0,0,0,0,1,0
case_20,0,1,1,1,0,0,0,0,0,1
case_21,1,0,1,1,0,0,0,0,1,0
case_22,1,0,1,0,1,0,0,0,0,1
case_23,1,0,1,1,0,0,0,0,0,1
case_24,1,0,1,1,0,0,0,0,1,0
case_25,0,0,1,1,1,0,0,0,0,1
case_26,1,1,1,0,0,0,0,0,1,0
case_27,0,1,0,1,1,0,0,0,1,0
case_28,1,1,1,0,0,0,0,0,1,0
case_29,0,1,0,1,1,0,0,0,1,0
case_30,0,0,1,1,1,0,0,0,0,1
case_31,1,0,0,1,1,0,0,0,1,0
case_32,0,1,0,1,1,0,0,0,1,0
case_33,1,0,0,1,1,0,0,0,1,0
case_34,0,0,1,1,1,0,0,0,0,1
case_35,1,0,0,1,1,0,0,0,1,0
case_36,1,0,1,0,1,0,0,0,1,0
case_37,1,0,1,1,0,0,0,0,1,0
case_38,0,0,1,1,1,0,0,0,0,1
case_39,0,1,0,1,1,0,0,0,1,0
case_40,1,0,1,0,1,0,0,0,1,0
case_41,1,1,1,0,0,0,0,0,0,1
case_42,1,1,0,1,0,0,0,0,1,0
case_43,1,1,1,0,0,0,0,0,0,1
case_44,0,1,1,0,1,0,0,0,0,1
case_45,1,1,0,0,1,0,0,0,0,1
case_46,1,1,1,1,0,1,0,1,0,0
case_47,1,1,1,0,0,0,0,0,1,0
case_48,1,1,0,0,1,0,0,0,1,0
case_49,1,0,1,0,1,0,0,0,1,0
case_50,0,1,1,0,1,0,0,0,0,1
