cases \ Obj.Function,Profit,F_Benefit,SW
case_1,79286.4,-116808.313,-37521.913
case_2,77248.0,-107396.016,-30148.016
case_3,78267.2,-115354.264,-37087.064
case_4,80305.6,-103580.714,-23275.114
case_5,-14096.0,-18173.792,-32269.792
case_6,77248.0,-106866.032,-29618.032
case_7,77248.0,-113747.088,-36499.088
case_8,77248.0,-109664.464,-32416.464
case_9,80305.6,-115952.899,-35647.299
case_10,77248.0,-108731.168,-31483.168
case_11,77248.0,-116420.304,-39172.304
case_12,77248.0,-98581.392,-21333.392
case_13,77248.0,-117139.568,-39891.568
case_14,77248.0,-113403.472,-36155.472
case_15,77248.0,-112652.176,-35404.176
case_16,77248.0,-104057.408,-26809.408
case_17,77248.0,-109133.024,-31885.024
case_18,77248.0,-111172.88,-33924.88
case_19,79286.4,-113031.318,-33744.918
case_20,77248.0,-110016.816,-32768.816
case_21,81324.8,-116710.164,-35385.364
case_22,77248.0,-110964.672,-33716.672
case_23,77248.0,-108712.24,-31464.24
case_24,77248.0,-113316.112,-36068.112
case_25,77248.0,-117452.608,-40204.608
case_26,77248.0,-121953.104,-44705.104
case_27,77248.0,-110653.088,-33405.088
case_28,77248.0,-97678.672,-20430.672
case_29,77248.0,-111235.488,-33987.488
case_30,77248.0,-106978.144,-29730.144
case_31,77248.0,-114049.936,-36801.936
case_32,77248.0,-107987.152,-30739.152
case_33,78267.2,-105036.16,-26768.96
case_34,77248.0,-107115.008,-29867.008
case_35,77248.0,-112344.96,-35096.96
case_36,77248.0,-106647.632,-29399.632
case_37,77248.0,-106662.192,-29414.192
case_38,77248.0,-109657.184,-32409.184
case_39,77248.0,-111860.112,-34612.112
case_40,78267.2,-119751.064,-41483.864
case_41,80305.6,-118155.885,-37850.285
case_42,77248.0,-109130.112,-31882.112
case_43,79286.4,-114573.572,-35287.172
case_44,77248.0,-112526.96,-35278.96
case_45,77248.0,-110388.096,-33140.096
case_46,-14096.0,-20675.2,-34771.2
case_47,77248.0,-111298.096,-34050.096
case_48,77248.0,-107939.104,-30691.104
case_49,78267.2,-108991.821,-30724.621
case_50,82344.0,-119177.968,-36833.968
