cases \ facilities,1,2,3,4,5,6,7,8,9,10
case_1,0,0,0,0,0,0,0,0,61,89
case_2,0,0,0,0,0,0,0,0,90,60
case_3,0,0,0,0,0,0,0,0,92,58
case_4,0,0,0,0,0,0,0,0,52,98
case_5,0,0,0,0,0,0,0,0,79,71
case_5,0,0,0,0,0,0,0,0,79,71
case_7,-,-,-,-,-,-,-,-,-,-
case_8,-,-,-,-,-,-,-,-,-,-
case_9,0,0,0,0,0,0,0,0,85,65
case_10,-,-,-,-,-,-,-,-,-,-
case_10,-,-,-,-,-,-,-,-,-,-
case_12,0,0,0,0,0,0,0,0,80,70
case_13,0,0,0,0,0,0,0,0,54,96
case_14,0,0,0,0,0,0,0,0,80,70
case_15,0,0,0,0,0,0,0,0,52,98
case_16,0,0,0,0,0,0,0,0,58,92
case_17,0,0,0,0,0,0,0,0,58,92
case_18,0,0,0,0,0,0,0,0,61,89
case_19,0,0,0,0,0,0,0,0,98,52
case_20,0,0,0,0,0,0,0,0,89,61
case_21,-,-,-,-,-,-,-,-,-,-
case_22,0,0,0,0,0,0,0,0,64,86
case_23,-,-,-,-,-,-,-,-,-,-
case_24,0,0,0,0,0,0,0,0,78,72
case_25,0,0,0,0,0,0,0,0,95,55
case_26,-,-,-,-,-,-,-,-,-,-
case_27,0,0,0,0,0,0,0,0,53,97
case_28,0,0,0,0,0,0,0,0,76,74
case_29,0,0,0,0,0,0,0,0,74,76
case_30,0,0,0,0,0,0,0,0,65,85
case_31,0,0,0,0,0,0,0,0,89,61
case_32,0,0,0,0,0,0,0,0,63,87
case_33,0,0,0,0,0,0,0,0,66,84
case_34,0,0,0,0,0,0,0,0,56,94
case_35,0,0,0,0,0,0,0,0,95,55
case_36,0,0,0,0,0,0,0,0,87,63
case_37,0,0,0,0,0,0,0,0,95,55
case_38,-,-,-,-,-,-,-,-,-,-
case_39,0,0,0,0,0,0,0,0,99,51
case_40,-,-,-,-,-,-,-,-,-,-
case_41,0,0,0,0,0,0,0,0,92,58
case_41,0,0,0,0,0,0,0,0,92,58
case_43,0,0,0,0,0,0,0,0,59,94
case_44,0,0,0,0,0,0,0,0,61,89
case_44,0,0,0,0,0,0,0,0,61,89
case_46,0,0,0,0,0,0,0,0,79,77
case_46,0,0,0,0,0,0,0,0,79,77
case_46,0,0,0,0,0,0,0,0,79,77
case_49,0,0,0,0,0,0,0,0,68,82
case_50,0,0,0,0,0,0,0,0,55,95
