cases \ Obj.Function,Profit,F_Benefit,SW
case_1,118400.0,-192008.923,-73608.923
case_2,118400.0,-180380.928,-61980.928
case_3,118400.0,-187135.487,-68735.487
case_4,118400.0,-184822.077,-66422.077
case_5,118400.0,-188947.843,-70547.843
case_5,118400.0,-188947.843,-70547.843
case_7,-,-,-
case_8,-,-,-
case_9,118400.0,-181038.676,-62638.676
case_10,-,-,-
case_10,-,-,-
case_12,118400.0,-175394.128,-56994.128
case_13,118400.0,-186857.391,-68457.391
case_14,118400.0,-183407.952,-65007.952
case_15,118400.0,-183990.818,-65590.818
case_16,118400.0,-190945.839,-72545.839
case_17,118400.0,-182369.999,-63969.999
case_18,118400.0,-184728.078,-66328.078
case_19,118400.0,-190713.112,-72313.112
case_20,118400.0,-189697.1,-71297.1
case_21,-,-,-
case_22,118400.0,-187520.686,-69120.686
case_23,-,-,-
case_24,118400.0,-186880.104,-68480.104
case_25,118400.0,-185280.004,-66880.004
case_26,-,-,-
case_27,118400.0,-194307.029,-75907.029
case_28,118400.0,-180294.034,-61894.034
case_29,118400.0,-181783.172,-63383.172
case_30,118400.0,-186053.14,-67653.14
case_31,118400.0,-188242.251,-69842.251
case_32,118400.0,-193139.608,-74739.608
case_33,118400.004,-182683.567,-64283.563
case_34,118400.0,-189754.889,-71354.889
case_35,118400.0,-183520.064,-65120.064
case_36,118400.0,-179026.6,-60626.6
case_37,118400.0,-184985.892,-66585.892
case_38,-,-,-
case_39,118400.0,-185249.908,-66849.908
case_40,-,-,-
case_41,118400.0,-184816.079,-66416.079
case_41,118400.0,-184816.079,-66416.079
case_43,118400.0,-192116.082,-73716.082
case_44,118400.0,-189325.82,-70925.82
case_44,118400.0,-189325.82,-70925.82
case_46,118400.0,-197089.986,-78689.986
case_46,118400.0,-197089.986,-78689.986
case_46,118400.0,-197089.986,-78689.986
case_49,118400.0,-185171.809,-66771.809
case_50,118400.0,-182578.032,-64178.032
